scid,node_1,node_2
806500575154536449,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,03ecb39d80deaf6a934bac97ba514ef9709560e765c6408fef3ae8f9bc2c9f5854
919428115917570048,0265b8ed989c84321bcd0dfb77cdb4a8347cc5164f5e65d0c44654d1641f3cc15c,0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3
997994818741534721,02bbbdad5058fbf7a9704ab6efe844e2e64b03fd84a13f7610f011a42bcb755bb8,03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c
999139410321866752,02c953421bc7f07be6052920e46843d11e6d3ffc9986177c91f140d76c6ed3a3d4,03c311cc6efefce90443554e43936518500cfc710346a170599c4965e18c3ebe40
1006246653499867136,0221b02b49b24c7a398b32f59a9c18aa6517581cada44b4d98532cdab15e93f7d0,0337694505123a12a8fadd95523dcc235898ad3b80a06e4a63ca26fed68dd0d17c
965505349699960833,0395ab9ab6ac75949a648c5b7830ecea192c618df2fa6220154a5066878d9f439c,03c5bfa5cab7e52e7cebc45fd1b86ea30ad518648651314563452b78b822333660
849335349192884224,020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217,03bd6d28432d67effa2b2b89dd5fd68697940e8a8f2fbb84aaae90d584295b03bf
1005592444230500352,020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217,02be8a325c61af50aebc2004e3a3db0dc8d255f2fb95036738392172f739fa1c3a
992801825397800960,0206db3b9c7475b246d380987bb77cf55acb65e2b0913b6e7d97063efd6d3d3d95,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78
1015980630056632320,0216fcf031519e0924e5e4b64a731b207cccb85b13caebffd0f664a32a39bcd368,03b8d3617af7a3b525f2ca3cad9d08cae6ff7519a19c9cf3236b3b4e2f092087f4
903978878050500609,026c2595bddf44ca1eadb65ad26942b325616690d104442f8560a7faaf67c4c323,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69
1017033962132799488,024b1b1e64a31ea22a51f3ca0c62440cf584294fcdf4353f0e9a1b4ea38efa0724,0288905bbeeb318ac05de6bdcb3d9391625077e724619f16f30f07d6f51a1cd8d6
1013783805747855361,022c6a25c6090a64b2710ef7f15740c4a000c480ef16a3b5845864af448cb322ba,028a223a73f8b6443005decbb80d3e5178592895f927d6b9838655defb383643bb
982309186003730432,028c6577b38dbff37fc7c57d22f888b519f5c03fb65f03b74414bb5bcf4b9080d1,03641a88d80a2a85bbecd770577aca9b5495616e9fef63d66ef2631b7cca1d395d
1001375817037316096,023668d1fd35d0736b24a80ced02410e9a61365de695664017aa9417c500ddfb19,0278f045df017c64c27bb8126c0dd52bbcd82021c0f89a913bf32a13d9e253f692
914020717800521729,02e46fce29587e4a8d39da2cf21f032536c1ced45e82e4ba04f127ee7337783b38,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025
